time,open,high,low,close,tick_volume,spread,real_volume
2026-08-03 07:05:00,156.444,156.474,156.394,156.422,397,22,0
2026-08-03 07:10:00,156.423,156.512,156.407,156.433,233,22,0
2026-08-03 07:15:00,156.428,156.485,156.411,156.473,270,22,0
2026-08-03 07:20:00,156.473,156.535,156.457,156.522,310,22,0
2026-08-03 07:25:00,156.521,156.535,156.49,156.497,377,22,0
2026-08-03 07:30:00,156.497,156.532,156.469,156.518,361,22,0
2026-08-03 07:35:00,156.518,156.518,156.361,156.382,555,22,0
2026-08-03 07:40:00,156.381,156.461,156.373,156.373,335,22,0
2026-08-03 07:45:00,156.372,156.436,156.362,156.434,347,22,0
2026-08-03 07:50:00,156.435,156.518,156.434,156.506,293,22,0
2026-08-03 07:55:00,156.505,156.535,156.435,156.45,427,22,0
2026-08-03 08:00:00,156.449,156.464,156.356,156.409,400,22,0
2026-08-03 08:05:00,156.409,156.462,156.377,156.462,292,22,0
2026-08-03 08:10:00,156.462,156.486,156.432,156.438,291,22,0
2026-08-03 08:15:00,156.443,156.475,156.376,156.475,365,22,0
2026-08-03 08:20:00,156.475,156.498,156.448,156.482,241,22,0
2026-08-03 08:25:00,156.483,156.491,156.442,156.452,227,22,0
2026-08-03 08:30:00,156.452,156.469,156.373,156.374,340,22,0
2026-08-03 08:35:00,156.373,156.453,156.373,156.453,259,22,0
2026-08-03 08:40:00,156.452,156.48,156.382,156.407,304,22,0
2026-08-03 08:45:00,156.408,156.441,156.394,156.4,267,22,0
2026-08-03 08:50:00,156.399,156.435,156.393,156.413,251,22,0
2026-08-03 08:55:00,156.413,156.413,156.371,156.387,291,22,0
2026-08-03 09:00:00,156.386,156.435,156.31,156.366,603,22,0
2026-08-03 09:05:00,156.366,156.433,156.347,156.433,653,22,0
2026-08-03 09:10:00,156.434,156.456,156.404,156.413,343,22,0
2026-08-03 09:15:00,156.413,156.53,156.403,156.501,498,22,0
2026-08-03 09:20:00,156.503,156.625,156.498,156.618,527,22,0
2026-08-03 09:25:00,156.619,156.684,156.604,156.623,645,22,0
2026-08-03 09:30:00,156.622,156.682,156.568,156.59,463,22,0
2026-08-03 09:35:00,156.589,156.775,156.589,156.719,555,22,0
2026-08-03 09:40:00,156.72,156.763,156.655,156.738,650,22,0
2026-08-03 09:45:00,156.739,156.818,156.737,156.792,568,22,0
2026-08-03 09:50:00,156.793,156.828,156.75,156.828,441,22,0
2026-08-03 09:55:00,156.827,156.842,156.755,156.763,358,22,0
2026-08-03 10:00:00,156.766,156.791,156.67,156.723,720,22,0
2026-08-03 10:05:00,156.724,156.792,156.623,156.65,599,22,0
2026-08-03 10:10:00,156.651,156.683,156.562,156.58,613,22,0
2026-08-03 10:15:00,156.578,156.72,156.53,156.674,864,22,0
2026-08-03 10:20:00,156.675,156.746,156.631,156.649,865,22,0
2026-08-03 10:25:00,156.648,156.668,156.557,156.596,588,22,0
2026-08-03 10:30:00,156.595,156.596,156.472,156.515,715,22,0
2026-08-03 10:35:00,156.515,156.621,156.495,156.62,564,22,0
2026-08-03 10:40:00,156.62,156.739,156.607,156.734,477,22,0
2026-08-03 10:45:00,156.734,156.758,156.7,156.718,489,22,0
2026-08-03 10:50:00,156.719,156.764,156.713,156.714,470,22,0
2026-08-03 10:55:00,156.713,156.781,156.691,156.766,577,22,0
2026-08-03 11:00:00,156.767,156.779,156.69,156.743,662,22,0
2026-08-03 11:05:00,156.743,156.761,156.676,156.707,701,22,0
2026-08-03 11:10:00,156.71,156.735,156.644,156.734,543,22,0
2026-08-03 11:15:00,156.736,156.784,156.735,156.742,511,22,0
2026-08-03 11:20:00,156.741,156.759,156.698,156.725,559,22,0
2026-08-03 11:25:00,156.725,156.803,156.717,156.782,332,22,0
2026-08-03 11:30:00,156.781,156.836,156.779,156.812,431,22,0
2026-08-03 11:35:00,156.813,156.853,156.549,156.849,1033,22,0
2026-08-03 11:40:00,156.848,156.912,156.809,156.911,610,22,0
2026-08-03 11:45:00,156.912,156.948,156.89,156.927,624,22,0
2026-08-03 11:50:00,156.926,156.93,156.861,156.865,431,22,0
2026-08-03 11:55:00,156.866,156.973,156.866,156.972,549,22,0
