ema_short,ema_long,sl_atr,tp_atr,spread_atr_limit,train_trades,train_win_rate,train_return,train_pf,train_max_dd,test_trades,test_win_rate,test_return,test_pf,test_max_dd
10,30,1.0,1.5,0.25,88,31.818181818181817,-16.029191983152526,0.6923774921657709,23.84266589956143,7,42.857142857142854,0.31997118219182497,1.0849393390643598,2.356843681964242
10,30,1.0,1.5,0.4,221,25.339366515837103,-48.63336497552092,0.5069470986365164,49.38729831451575,44,31.818181818181817,-4.734775992816919,0.7631786698345406,10.234931869342022
10,30,1.0,1.5,0.6,300,22.0,-66.20610888204914,0.43162936604753355,66.20610888204914,121,23.96694214876033,-28.556767420661856,0.4911360458384681,31.935900852780502
10,30,1.0,2.0,0.25,108,28.703703703703702,-13.521287334870957,0.7995924588131851,22.566162266926522,7,42.857142857142854,1.6823133224801223,1.4465857854191715,1.903349441679398
10,30,1.0,2.0,0.4,219,20.54794520547945,-49.6282283334722,0.5217604278619675,49.628228333472194,43,27.906976744186046,-3.7507159126414447,0.8188886842336164,8.983372982751712
10,30,1.0,2.0,0.6,322,18.944099378881987,-66.26737625849752,0.4883897530712494,66.26737625849752,120,20.0,-28.120628743698106,0.5144683029338148,31.34118575359969
10,30,1.0,3.0,0.25,83,19.27710843373494,-16.698522041938947,0.710494107159344,25.702780102503812,7,28.57142857142857,0.8187297857711107,1.1755378079504146,4.421687606563009
10,30,1.0,3.0,0.4,185,13.513513513513514,-49.86742062886034,0.48885936002262065,49.86742062886034,42,21.428571428571427,-3.009919004215411,0.8642737220376767,7.992853313587165
10,30,1.0,3.0,0.6,338,14.792899408284024,-66.1005978514754,0.5434147037675053,66.1005978514754,118,16.94915254237288,-21.857547079390883,0.6531901144937091,31.669268599453133
10,30,1.5,1.5,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,30,1.5,1.5,0.4,88,34.090909090909086,-23.14259801108759,0.5161284793094176,23.904848023584556,19,42.10526315789473,-2.7142210610569095,0.7219588798051924,4.520225633096192
10,30,1.5,1.5,0.6,276,36.231884057971016,-47.9493320958599,0.5768299451831151,47.9493320958599,94,35.1063829787234,-19.819348746310016,0.5277820873871901,20.426700480369608
10,30,1.5,2.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,30,1.5,2.0,0.4,74,25.675675675675674,-24.911639643439653,0.4529906899858677,25.145994432305812,20,40.0,-1.3397215859834222,0.8752201454975339,5.127017976314127
