direction,signal_time,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,exit_reason,profit_jpy,balance_jpy,rsi14,ema20,ema50,atr14
BUY,2026-07-31 00:00:00,2026-07-31 00:05:00,2026-07-31 00:05:00,159.51999999999998,159.41662593345225,159.41662593345225,159.67506109982156,STOP_LOSS,-103.37406654772963,9896.625933452271,62.20191903814436,159.41783031479187,159.28948647771637,0.10337406654772015
BUY,2026-07-31 00:10:00,2026-07-31 00:15:00,2026-07-31 01:15:00,159.546,159.69484605035635,159.44676929976242,159.69484605035635,TAKE_PROFIT,148.84605035635445,10045.471983808626,65.64372251627512,159.4225096227661,159.3012868254506,0.09923070023757641
BUY,2026-07-31 01:25:00,2026-07-31 01:30:00,2026-07-31 01:35:00,159.73399999999998,159.65357475327292,159.65357475327292,159.85463787009056,STOP_LOSS,-80.42524672706008,9965.046737081566,67.86830665691113,159.57597119410326,159.4369270996735,0.08042524672705917
BUY,2026-07-31 01:40:00,2026-07-31 01:45:00,2026-07-31 02:10:00,159.59199999999998,159.74561293753243,159.48959137497835,159.74561293753243,TAKE_PROFIT,153.61293753244354,10118.65967461401,53.051248625953114,159.57592424364046,159.45291211034586,0.10240862502162795
BUY,2026-07-31 02:15:00,2026-07-31 02:20:00,2026-07-31 02:30:00,159.813,159.96767113004017,159.70988591330655,159.96767113004017,TAKE_PROFIT,154.6711300401853,10273.330804654195,62.79119353592792,159.64517143316783,159.51448169966537,0.10311408669344997
BUY,2026-07-31 03:20:00,2026-07-31 03:25:00,2026-07-31 03:35:00,160.209,160.37698590647847,160.09700939568103,160.37698590647847,TAKE_PROFIT,167.98590647846368,10441.316711132658,67.48149029742007,160.0289370600042,159.77260591312336,0.11199060431898376
BUY,2026-07-31 04:10:00,2026-07-31 04:15:00,2026-07-31 04:50:00,160.492,160.69556239279405,160.3562917381373,160.69556239279405,TAKE_PROFIT,203.56239279405486,10644.879103926713,65.00524486130551,160.33448431214308,160.01365794718663,0.1357082618626997
BUY,2026-07-31 05:00:00,2026-07-31 05:05:00,2026-07-31 05:10:00,160.673,160.562785888495,160.562785888495,160.8383211672575,STOP_LOSS,-110.21411150500171,10534.66499242171,67.54800119850518,160.50942609183227,160.20624738331836,0.1102141115049994
BUY,2026-07-31 05:15:00,2026-07-31 05:20:00,2026-07-31 05:20:00,160.624,160.52049475110186,160.52049475110186,160.7792578733472,STOP_LOSS,-103.50524889813073,10431.15974352358,60.828657418599306,160.5297889605742,160.24943905737632,0.10350524889813702
BUY,2026-07-31 05:25:00,2026-07-31 05:30:00,2026-07-31 05:30:00,160.61599999999999,160.51374292314392,160.51374292314392,160.76938561528405,STOP_LOSS,-102.25707685606267,10328.902666667516,59.77450375713162,160.54123767520926,160.27585358583644,0.10225707685604851
BUY,2026-07-31 05:35:00,2026-07-31 05:40:00,2026-07-31 05:50:00,160.563,160.4622222143435,160.4622222143435,160.71416667848473,STOP_LOSS,-100.77778565647577,10228.124881011041,54.40643587699998,160.53772970691733,160.29473143390746,0.10077778565648937
BUY,2026-07-31 06:00:00,2026-07-31 06:05:00,2026-07-31 06:10:00,160.63899999999998,160.79778032972612,160.53314644684923,160.79778032972612,TAKE_PROFIT,158.78032972614164,10386.905210737183,58.38823769452036,160.5443958378033,160.34185281162837,0.10585355315076196
BUY,2026-07-31 06:15:00,2026-07-31 06:20:00,2026-07-31 06:30:00,160.79999999999998,160.68202468794743,160.68202468794743,160.97696296807882,STOP_LOSS,-117.97531205255041,10268.929898684632,66.67265467720344,160.58688425132198,160.38286575627222,0.11797531205255891
BUY,2026-07-31 06:35:00,2026-07-31 06:40:00,2026-07-31 06:45:00,160.71099999999998,160.5970839523237,160.5970839523237,160.88187407151446,STOP_LOSS,-113.91604767629815,10155.013851008334,56.55410147755278,160.63890486225662,160.43694379939694,0.11391604767631033
BUY,2026-07-31 06:50:00,2026-07-31 06:55:00,2026-07-31 06:55:00,160.694,160.57893274171104,160.57893274171104,160.8666008874334,STOP_LOSS,-115.0672582889456,10039.946592719389,54.94165401797042,160.64484207431357,160.46236360868184,0.11506725828893995
BUY,2026-07-31 07:05:00,2026-07-31 07:10:00,2026-07-31 08:30:00,160.661,160.55106349618777,160.55106349618777,160.82590475571837,STOP_LOSS,-109.93650381223574,9930.010088907153,52.31332399986188,160.6358917814185,160.47900670328767,0.10993650381224736
BUY,2026-07-31 08:35:00,2026-07-31 08:40:00,2026-07-31 08:55:00,160.679,160.5854540333767,160.5854540333767,160.819318949935,STOP_LOSS,-93.54596662331005,9836.464122283844,50.00597464850033,160.6667048879113,160.58095324295155,0.09354596662332285
SELL,2026-07-31 09:25:00,2026-07-31 09:30:00,2026-07-31 09:30:00,160.326,160.4314883066134,160.4314883066134,160.1677675400799,STOP_LOSS,-105.48830661340958,9730.975815670434,31.435486789739002,160.53493277571272,160.5470112276293,0.10548830661340369
SELL,2026-07-31 09:35:00,2026-07-31 09:40:00,2026-07-31 09:40:00,160.391,160.5063087949881,160.5063087949881,160.21803680751785,STOP_LOSS,-115.30879498809554,9615.667020682338,40.46895517704863,160.51743930166052,160.53878275953016,0.11530879498808713
