signal_time,direction,direction_value,close,ema50,ema100,ema_gap,ema_gap_ratio,rsi14,atr14,atr_ratio,spread,spread_atr_ratio,tick_volume,volume_change,candle_body,candle_range,body_ratio,return_1,return_3,return_6,return_12,hour_utc,day_of_week,holding_bars,exit_reason,result
2025-08-04 02:25:00+00:00,BUY,1,147.332,147.227326842117,147.22700350579765,0.0003233363193544392,2.194610263584552e-06,61.2635257138406,0.06008652153925791,0.00040783076004709035,20.0,0.3328533502631347,314.0,0.01948051948051943,0.026999999999986812,0.06999999999999318,0.3857142857141349,0.0001697135913432124,0.0009647394524083808,0.0006724036051699578,0.0007539685235122828,2,0,3,STOP_LOSS,0
2025-08-04 14:40:00+00:00,SELL,-1,147.514,147.6953050571175,147.69702389948893,-0.001718842371417395,-1.1652062661289063e-05,37.63955020292026,0.06793876219543094,0.00046055806361044327,21.0,0.30910189296048596,397.0,0.1574344023323615,-0.030000000000001137,0.054000000000002046,0.5555555555555556,-0.00021010539157528818,0.00025088657892413657,0.00020341189552763872,-0.00167837468361276,14,0,3,TAKE_PROFIT,1
2025-08-05 05:55:00+00:00,BUY,1,147.176,147.01272732317278,147.01105999092073,0.0016673322520546208,1.1328832500235234e-05,62.368636383084706,0.061826220253186716,0.0004200835751290069,20.0,0.3234873475702914,392.0,0.3564013840830449,0.044999999999987494,0.049000000000006594,0.9183673469383967,0.00031264867803981744,-1.358898748460291e-05,0.00018348748547381,0.0008976904872008973,5,1,20,STOP_LOSS,0
2025-08-06 15:35:00+00:00,SELL,-1,147.519,147.58126146286202,147.5824943683445,-0.0012329054824817831,-8.357604664360408e-06,45.45257209686398,0.05053439843183242,0.0003425619644373431,20.0,0.3957700224131229,328.0,-0.009063444108761365,0.027000000000015234,0.060000000000002274,0.4500000000002368,0.00018306077617769034,0.00020340499969484505,-0.0001694409803177921,0.00041367711483952796,15,2,4,TAKE_PROFIT,1
2025-08-07 08:45:00+00:00,SELL,-1,147.268,147.38663159195738,147.38793328563668,-0.0013016936792951128,-8.838944504543504e-06,38.717846957853766,0.05087662084796617,0.000345469625770474,20.0,0.393107868931895,202.0,-0.45108695652173914,-0.05099999999998772,0.06400000000002137,0.796874999999542,-0.00033940183820047043,0.00011544913107552901,-4.0740388663307314e-05,-0.0002986857825568734,8,3,6,TAKE_PROFIT,1
2025-08-07 14:05:00+00:00,BUY,1,147.352,147.22894680639652,147.2279907694806,0.0009560369159089532,6.488116319486354e-06,61.402524389101536,0.06356528244261057,0.00043138391363952013,20.0,0.3146371609070855,615.0,-0.48750000000000004,-0.0049999999999954525,0.044999999999987494,0.11111111111104094,-2.714514509072341e-05,0.00021721422753206987,0.00025116247496859145,-0.00019676891865294532,14,3,11,STOP_LOSS,0
2025-08-07 16:50:00+00:00,SELL,-1,147.216,147.24257181979254,147.24284953839307,-0.00027771860052894226,-1.8864702242211597e-06,48.55500311610686,0.09700695504321673,0.0006589430159983747,20.0,0.20617078426067464,793.0,-0.1323851203501094,-0.002999999999985903,0.05500000000000682,0.05454545454519147,-6.113092205795034e-05,-0.00032594524119944346,-0.00030557988876878106,-5.4338966472777805e-05,16,3,2,STOP_LOSS,0
2025-08-07 16:55:00+00:00,BUY,1,147.265,147.24345135627127,147.24328816139518,0.00016319487608029704,1.1081715009017557e-06,51.83515929626241,0.0956493153972729,0.0006495047390572974,20.0,0.20909715785137997,993.0,0.25220680958385877,0.04999999999998295,0.07800000000000296,0.641025641025398,0.00033284425605906165,0.000849531058855435,0.0006727097291492345,-7.468969825374927e-05,16,3,2,TAKE_PROFIT,1
2025-08-08 05:30:00+00:00,BUY,1,147.218,147.14235106528358,147.14092225095948,0.0014288143241003581,9.705432244021508e-06,53.46584831789553,0.06303906045234875,0.00042820212509576787,20.0,0.31726361174303996,166.0,0.12925170068027203,-0.009000000000014552,0.06999999999999318,0.128571428571649,-5.433822830214208e-05,-6.79218626893352e-05,-0.0001901579669397746,-0.0006584529749177337,5,4,18,STOP_LOSS,0
2025-08-14 15:55:00+00:00,BUY,1,146.941,146.59016955590369,146.58387879851452,0.0062907573891664015,4.2811450780697025e-05,69.72074700315687,0.1170217832720895,0.0007963861908663306,20.0,0.17090835091358703,1142.0,0.04387568555758681,0.018000000000000682,0.11600000000001387,0.15517241379309077,0.00011570607933353294,0.0011105206502337595,0.00316773281812166,0.0031197946533410015,15,3,5,TAKE_PROFIT,1
