ema_short,ema_long,sl_atr,tp_atr,spread_limit,folds,total_test_trades,average_test_trades,median_test_pf,average_test_pf,average_test_return,median_test_return,worst_test_return,average_test_dd,worst_test_dd,positive_return_folds,pf_over_one_folds,positive_fold_ratio,pf_over_one_ratio
50,100,1.0,3.0,0.6,4,165,41.25,0.47940702685984676,0.4910453813797092,-12.154416346176259,-12.132892010436636,-21.412003080154395,12.950598100628383,22.787020004054725,0,0,0.0,0.0
20,50,2.0,3.0,0.6,4,122,30.5,0.47648883331843117,0.4930476874889618,-8.589378290801832,-8.870322546674597,-11.689881164784587,9.787827251167506,11.689881164784584,0,0,0.0,0.0
10,30,1.0,1.5,0.6,4,651,162.75,0.4694742669974126,0.4959805063189639,-33.34882373514757,-34.98738305996248,-44.56956334872508,34.97607215574229,45.239080787224644,0,0,0.0,0.0
20,50,1.5,2.0,0.6,4,234,58.5,0.46592522734425834,0.45195538009696007,-15.508359872076191,-16.597585571708883,-19.57070997809438,17.372250095250095,22.88088333423814,0,0,0.0,0.0
20,50,1.0,1.5,0.6,4,374,93.5,0.4605334576160053,0.4055979736476213,-24.756551857944558,-27.536980360529657,-33.664354167761914,26.003441687323555,36.56856322882129,0,0,0.0,0.0
20,50,1.0,3.0,0.6,4,358,89.5,0.46044747809789877,0.4067743550688533,-26.741392188906584,-29.903444077674827,-36.461684349046905,28.077153874317055,41.708826721310515,0,0,0.0,0.0
50,100,1.0,1.5,0.6,4,165,41.25,0.45710439539601866,0.416869036247,-13.256030938104457,-15.164443210141808,-20.446456203434295,13.843548229117953,21.148553656492165,0,0,0.0,0.0
20,50,1.5,3.0,0.4,4,94,23.5,0.44746817695081886,0.38250763865216936,-8.533470678686406,-8.655741214527273,-12.302429336934583,9.682242243771022,14.59484962383101,0,0,0.0,0.0
50,100,1.0,2.0,0.6,4,165,41.25,0.4332288852491307,0.44200528605412837,-11.642185085277394,-12.626995992770706,-17.49270309357224,12.116080818258968,18.460742909908927,0,0,0.0,0.0
10,30,1.0,2.0,0.6,4,630,157.5,0.4332134737937759,0.5021592544524971,-33.47030019283867,-32.53458492754456,-49.454400617037166,35.523744626059774,49.82310426751512,0,0,0.0,0.0
50,100,1.0,1.5,0.4,4,97,24.25,0.424837306223964,0.3959423071706953,-5.327262635747587,-5.349118229942906,-9.35617502811279,6.130841192801576,9.887799310579632,0,0,0.0,0.0
20,50,2.0,1.5,0.6,4,115,28.75,0.37099552557901927,0.3973633822572657,-8.754155891084292,-8.427540523619282,-13.38080493607433,9.195138399194803,13.380804936074329,0,0,0.0,0.0
20,50,2.0,2.0,0.6,4,115,28.75,0.36365602940633773,0.37764421974876483,-9.925208626374069,-10.547078829499979,-12.837160600309982,10.208384953057548,12.83716060030998,0,0,0.0,0.0
