direction,signal_time,entry_time,exit_time,lot_size,entry_price,exit_price,stop_loss,take_profit,exit_reason,risk_amount_jpy,profit_jpy,balance_jpy,spread_atr_ratio,rsi14,ema20,ema50,atr14
SELL,2025-08-07 15:45:00,2025-08-07 15:50:00,2025-08-07 15:55:00,0.01,147.168,147.25258535339088,147.25258535339088,147.0411219699137,STOP_LOSS,84.58535339087096,-84.58535339087803,9915.414646609122,0.23644755502267062,41.721552321676555,147.25847796721146,147.25859977749786,0.08458535339087096
BUY,2025-08-21 16:45:00,2025-08-21 16:50:00,2025-08-21 17:05:00,0.01,147.851,147.97614966949644,147.76756688700237,147.97614966949644,TAKE_PROFIT,83.43311299761868,125.14966949643735,10040.56431610556,0.23971297823408355,57.45431240911027,147.7299164548192,147.72939220446585,0.08343311299761869
BUY,2025-08-28 16:20:00,2025-08-28 16:25:00,2025-08-28 16:50:00,0.01,147.131,147.0473196661332,147.0473196661332,147.25652050080018,STOP_LOSS,83.6803338667844,-83.68033386679485,9956.883982238765,0.23900478255547078,58.09939910369676,147.02980450584758,147.02606613158835,0.08368033386678439
SELL,2025-08-28 17:20:00,2025-08-28 17:25:00,2025-08-28 17:30:00,0.01,146.886,146.96802695103415,146.96802695103415,146.76295957344877,STOP_LOSS,82.02695103415667,-82.02695103415181,9874.857031204614,0.24382230166853142,37.072412113785305,147.03329257332,147.03570593723006,0.08202695103415666
SELL,2025-09-02 16:55:00,2025-09-02 17:00:00,2025-09-02 17:00:00,0.01,148.379,148.24736456803117,148.46675695464586,148.24736456803117,TAKE_PROFIT,87.75695464587704,131.63543196881733,10006.492463173432,0.22790216548312767,31.676648392532343,148.564586847768,148.57004732428035,0.08775695464587704
SELL,2025-09-04 03:50:00,2025-09-04 03:55:00,2025-09-04 03:55:00,0.01,147.944,148.02507700056927,148.02507700056927,147.82238449914607,STOP_LOSS,81.07700056927983,-81.07700056928024,9925.415462604153,0.24667908111511985,42.26050187783706,148.04101939695877,148.0421884783924,0.08107700056927984
SELL,2025-09-10 15:40:00,2025-09-10 15:45:00,2025-09-10 15:45:00,0.01,147.383,147.46745483655138,147.46745483655138,147.25631774517294,STOP_LOSS,84.45483655137882,-84.45483655137309,9840.96062605278,0.23681296201233937,44.26300739050962,147.44913008720266,147.45103226123203,0.08445483655137881
BUY,2025-09-10 15:50:00,2025-09-10 15:55:00,2025-09-10 16:00:00,0.01,147.548,147.45072006440213,147.45072006440213,147.69391990339682,STOP_LOSS,97.27993559787289,-97.27993559786796,9743.680690454912,0.2055922413710697,55.54738944279618,147.45516544553325,147.45333350988776,0.09727993559787289
BUY,2025-10-03 17:25:00,2025-10-03 17:30:00,2025-10-03 18:35:00,0.01,147.44500000000002,147.35210379985,147.35210379985,147.58434430022507,STOP_LOSS,92.89620015003422,-92.89620015002242,9650.78449030489,0.21529405904330343,59.399045617221965,147.3332421391792,147.32948029168622,0.09289620015003422
BUY,2025-10-14 11:20:00,2025-10-14 11:25:00,2025-10-14 11:35:00,0.01,152.097,152.01180906301593,152.01180906301593,152.22478640547612,STOP_LOSS,85.19093698408078,-85.19093698407687,9565.593553320814,0.23476675698187593,63.57397421782021,151.950786905102,151.95053668914622,0.08519093698408078
