direction,signal_time,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,exit_reason,profit_jpy,balance_jpy,rsi14,ema20,ema50,atr14
BUY,2025-08-04 02:15:00,2025-08-04 02:20:00,2025-08-04 02:25:00,147.275,147.36425406705646,147.21549728862902,147.36425406705646,TAKE_PROFIT,89.25406705645855,10089.25406705646,53.804394410702656,147.2197857236057,147.21962812009428,0.05950271137097517
SELL,2025-08-04 12:50:00,2025-08-04 12:55:00,2025-08-04 12:55:00,147.728,147.79038991708515,147.79038991708515,147.6344151243723,STOP_LOSS,-62.38991708514163,10026.864149971318,39.039562001519286,147.804860493841,147.80759782211925,0.062389917085136824
BUY,2025-08-05 04:10:00,2025-08-05 04:15:00,2025-08-05 04:15:00,147.08599999999998,147.00592068920085,147.00592068920085,147.2061189661987,STOP_LOSS,-80.07931079913533,9946.784839172182,63.34636470484967,146.9203463234149,146.91374439721872,0.08007931079913774
SELL,2025-08-05 17:40:00,2025-08-05 17:45:00,2025-08-05 17:50:00,147.365,147.485718491885,147.485718491885,147.18392226217253,STOP_LOSS,-120.71849188498618,9826.066347287197,36.209298309371704,147.57368642941063,147.5794047939878,0.12071849188498557
BUY,2025-08-05 20:40:00,2025-08-05 20:45:00,2025-08-05 22:05:00,147.583,147.6703594154069,147.52476038972873,147.6703594154069,TAKE_PROFIT,87.35941540689396,9913.42576269409,56.768466153850326,147.51725568401747,147.51467618780975,0.05823961027127092
SELL,2025-08-05 23:45:00,2025-08-05 23:50:00,2025-08-05 23:50:00,147.513,147.54561856466785,147.54561856466785,147.46407215299826,STOP_LOSS,-32.61856466784252,9880.807198026248,35.373568638247875,147.5828034749123,147.58379695790566,0.032618564667831064
BUY,2025-08-06 01:40:00,2025-08-06 01:45:00,2025-08-06 01:45:00,147.634,147.6048435034269,147.6048435034269,147.6777347448596,STOP_LOSS,-29.15649657307995,9851.650701453169,61.5933279332272,147.56771629754826,147.56629528551696,0.029156496573077017
SELL,2025-08-06 01:50:00,2025-08-06 01:55:00,2025-08-06 01:55:00,147.549,147.58184922408597,147.58184922408597,147.49972616387106,STOP_LOSS,-32.84922408596458,9818.801477367204,46.78993226915062,147.5644933864284,147.56504074606931,0.032849224085969735
BUY,2025-08-06 02:10:00,2025-08-06 02:15:00,2025-08-06 02:15:00,147.61499999999998,147.58191626694293,147.58191626694293,147.66462559958555,STOP_LOSS,-33.08373305705459,9785.71774431015,55.48033523991462,147.56664733630913,147.56581205436188,0.033083733057043666
SELL,2025-08-06 03:00:00,2025-08-06 03:05:00,2025-08-06 03:05:00,147.464,147.50583997321203,147.50583997321203,147.40124004018196,STOP_LOSS,-41.83997321203492,9743.877771098116,34.91590467761168,147.55957851657405,147.56434378376977,0.04183997321202188
BUY,2025-08-06 04:05:00,2025-08-06 04:10:00,2025-08-06 04:10:00,147.65300000000002,147.5922189104036,147.5922189104036,147.74417163439466,STOP_LOSS,-60.781089596417814,9683.096681501698,58.27853020374434,147.55938908234106,147.55896561717816,0.06078108959642943
SELL,2025-08-06 06:10:00,2025-08-06 06:15:00,2025-08-06 06:20:00,147.468,147.38271803913904,147.52485464057395,147.38271803913904,TAKE_PROFIT,85.28196086095363,9768.378642362652,33.30772143983198,147.58303982042173,147.58842418325813,0.05685464057396085
