direction,sl_atr,tp_atr,holding_bars,trades,wins,losses,win_rate,total_r,average_r,profit_factor,max_drawdown_r,stop_loss_count,take_profit_count,time_exit_count,skipped_count
BUY,1.5,3.0,12,6123,1702,4417,27.796831618487673,-2051.274164847092,-0.33501129590839324,0.5043283760560507,2050.7619712142955,3982,652,1489,54
BUY,1.5,3.0,24,6068,1551,4515,25.56031641397495,-1957.2264665925136,-0.322548857381759,0.556319483962391,1956.2264665925175,4356,1008,704,108
BUY,1.5,3.0,48,5958,1398,4559,23.464249748237663,-1978.4795328255532,-0.3320710864091227,0.5633238244375768,1977.4795328255577,4520,1196,242,216
BUY,2.0,1.5,12,6123,2454,3666,40.078392944634984,-1630.7285393967895,-0.26632835854920617,0.4961721061904762,1631.5236324482137,2998,1966,1159,54
BUY,2.0,1.5,24,6068,2528,3539,41.66117336849044,-1577.5756519680513,-0.2599828035543921,0.5340487133035704,1581.0098068260484,3309,2347,412,108
BUY,2.0,1.5,48,5958,2524,3434,42.36320913058073,-1530.2789337408608,-0.2568443997550958,0.5495976082612737,1535.6492823728609,3382,2473,103,216
BUY,2.0,2.0,12,6123,2265,3854,36.99167074963253,-1610.3142655963575,-0.2629943272246215,0.520192972815853,1610.5154010937854,3092,1438,1593,54
BUY,2.0,2.0,24,6068,2278,3788,37.54119973632169,-1535.62686325288,-0.2530696874180751,0.5715034808030257,1535.41531490609,3488,1926,654,108
BUY,2.0,2.0,48,5958,2250,3707,37.764350453172206,-1481.7324882894038,-0.248696288736053,0.5944784137920105,1483.4624934933395,3627,2130,201,216
BUY,2.0,3.0,12,6123,2137,3981,34.90119222603299,-1560.5761690292438,-0.25487116920288155,0.5465773800157215,1560.8931593020734,3158,762,2203,54
BUY,2.0,3.0,24,6068,2017,4049,33.23994726433751,-1501.293902478359,-0.24741165169386273,0.604131870333795,1500.2939024783611,3672,1241,1155,108
BUY,2.0,3.0,48,5958,1865,4090,31.30245048674052,-1513.900007140601,-0.25409533520318917,0.6218012663173126,1512.9000071406053,3963,1538,457,216
SELL,1.0,1.5,12,6123,1121,5000,18.30801894496162,-3358.5956569095333,-0.5485212570487561,0.3197984233729266,3359.7758895061525,4903,1009,211,54
SELL,1.0,1.5,24,6068,1094,4973,18.029004614370468,-3342.757786470337,-0.5508829575593832,0.32626382545918103,3346.2577864703367,4954,1071,43,108
SELL,1.0,1.5,48,5958,1071,4887,17.97583081570997,-3277.847559122386,-0.5501590397989906,0.328767168344247,3280.347559122386,4880,1069,9,216
SELL,1.0,2.0,12,6123,1001,5119,16.348195329087048,-3348.393561347577,-0.5468550647309451,0.3358594142598941,3351.601936869658,5000,752,371,54
SELL,1.0,2.0,24,6068,937,5130,15.44166117336849,-3322.705884239084,-0.5475784252206796,0.34999948069104864,3329.705884239084,5102,867,99,108
SELL,1.0,2.0,48,5958,896,5062,15.03860355824102,-3276.803596754511,-0.5499838195291223,0.35194181631560567,3282.8035967545097,5051,886,21,216
SELL,1.0,3.0,12,6123,887,5233,14.486362894006206,-3373.0152000496846,-0.5508762371467719,0.3437022073668219,3379.030877941153,5090,419,614,54
SELL,1.0,3.0,24,6068,757,5309,12.475280158206987,-3365.7118549208008,-0.5546657638300595,0.36215609368910545,3379.019725246458,5259,566,243,108
SELL,1.0,3.0,48,5958,679,5279,11.396441758979524,-3295.9227035432164,-0.5531928001918792,0.37464455909171623,3305.92270354322,5263,646,49,216
SELL,1.5,1.5,12,6123,1797,4323,29.348358647721707,-2458.9649483368835,-0.4015947980298683,0.40018807742137746,2463.2829588368963,3961,1557,605,54
SELL,1.5,1.5,24,6068,1789,4277,29.482531311799605,-2462.4970417813074,-0.4058169152573018,0.41531162979012987,2466.497041781303,4169,1726,173,108
SELL,1.5,1.5,48,5958,1761,4197,29.556898288016114,-2432.372138051972,-0.408253128239673,0.41902587727419643,2436.372138051968,4182,1751,25,216
SELL,1.5,2.0,12,6123,1640,4479,26.78425608361914,-2426.1100868680987,-0.3962289869129673,0.424705564764651,2430.1125578716733,4062,1176,885,54
SELL,1.5,2.0,24,6068,1580,4485,26.038233355306527,-2414.007853039306,-0.39782594809480987,0.4502700635618279,2421.0078530393007,4334,1425,309,108
SELL,1.5,2.0,48,5958,1515,4443,25.42799597180262,-2427.917419207616,-0.4075054412903015,0.4508450065651488,2433.9174192076107,4411,1484,63,216
SELL,1.5,3.0,12,6123,1491,4628,24.35080842724155,-2420.1992151061086,-0.3952636314071711,0.44111764758559296,2426.8763337004166,4155,676,1292,54
SELL,1.5,3.0,24,6068,1337,4727,22.033618984838498,-2395.6271440396395,-0.3947968266380421,0.47916349281692805,2407.499057590069,4525,970,573,108
